STATES,x,y
Jammu And Kashmir ,-101,164
Ladakh ,-171,150
Himachal Pradesh ,-110,125
Punjab ,-152,116
Haryana ,-128,85
Uttarakhand ,-63,101
Rajasthan ,-197,50
Uttar Pradesh ,-39,54
Gujarat ,-258,-10
Madhya Pradesh ,-114,1
Bihar ,84,36
Jharkhand ,71,1
Chhattisgarh ,-8,-45
Odissa ,52,-47
Maharashtra ,-195,-63
Telangana ,-86,-84
Andhra Pradesh ,-73,-128
Karnataka ,-174,-129
Tamil Nadu ,-91,-189
Kerala ,-139,-194
Tripura ,228,10
Mizoram ,256,4
Manipur ,276,26
Nagaland ,289,53
Arunachal Pradesh ,278,84
Assam ,245,50
Meghalaya ,200,38
West Bengal ,139,-1
Sikkim ,149,63
Delhi ,-110,78
Goa ,-197,-119
Lakshadweep ,-246,-179
Andaman And Nicobar ,279,-171
Daman And Diu ,-222.0, -41.0
Dadar and Nagar Haveli , -215.0, -47.0
Puducherry , 15.0, -98.0
